source_city,destination_city,km,fuel,toll
Lisbon,Rio de Mouro,18.39,1.8,0.72
Corroios,Lisbon,10.92,0.88,4.26
Lisbon,Ourém,114.47,12.35,1.91
Lisbon,Olhão,218.94,11.43,4.74
Albufeira,Lisbon,196.2,26.85,3.71
Lisbon,Ponte de Lima,342.39,18.39,0.94
Alenquer,Lisbon,39.36,5.56,4.26
Lisbon,Santa Cruz,965.73,76.69,3.73
Guarda,Lisbon,258.21,29.47,0.56
Chaves,Lisbon,364.76,46.84,2.54
Lisbon,Tomar,116.44,8.13,1.15
Abrantes,Lisbon,116.39,16.01,2.85
Lisbon,Marinha Grande,116.28,15.04,4.53
Lisbon,Trofa,295.58,43.3,3.63
Lisbon,Mafamude,270.64,20.55,0.5
Ermezinde,Lisbon,282.19,38.48,0.86
Lisbon,Silves,180.53,22.64,3.68
Lisbon,Torres Novas,100.14,10.46,3.98
Cantanhede,Lisbon,187.28,22.61,1.47
Beja,Lisbon,135.36,14.14,4.14
Agualva,Lisbon,15.7,1.55,3.12
Câmara de Lobos,Lisbon,976.59,127.04,0.31
Angra do Heroísmo,Lisbon,1570.71,79.31,3.88
Bragança,Lisbon,398.32,21.3,3.62
Esposende,Lisbon,314.67,45.85,1.63
Lisbon,Ribeira Grande,1435.27,197.03,4.73
Lisbon,Ílhavo,213.4,14.66,1.59
Lagos,Lisbon,183.6,16.1,3.11
Espinho,Lisbon,258.61,19.05,1.81
Charneca,Lisbon,11.44,1.07,1.35
Lisbon,Santiago do Cacém,86.02,9.01,3.1
Lisbon,Perafita,281.35,18.38,4.47
Lisbon,Póvoa de Santa Iria,16.97,1.14,0.91
Fundão,Lisbon,211.39,29.66,0.98
Benavente,Lisbon,40.8,4.64,3.92
Lisbon,Senhora da Hora,277.72,22.44,0.95
Lisbon,Tondela,219.78,27.05,4.14
Arrentela,Lisbon,9.85,0.64,0.21
Lisbon,Massamá,13.21,1.69,4.78
Anadia,Lisbon,200.35,23.24,0.02
Lisbon,Águas Santas,281.32,40.07,0.88
Estarreja,Lisbon,231.42,30.78,1.7
Lamego,Lisbon,288.02,14.41,3.97
Lisbon,Peniche,75.34,5.66,0.38
Estoril,Lisbon,22.95,3.14,2.08
Lisbon,Montemor-o-Velho,166.68,18.22,3.56
Lisbon,Tavira,218.67,26.46,0.73
Lisbon,Odemira,132.77,13.26,2.61
Lisbon,Lourinhã,60.86,7.67,3.84
Albergaria-a-Velha,Lisbon,227.02,29.58,0.45
Lisbon,Pinhal Novo,21.25,1.47,2.82
Lisbon,Portalegre,163.17,18.56,3.72
Cartaxo,Lisbon,58.31,6.63,0.16
Lisbon,Porto de Mós,102.31,11.96,3.53
Lisbon,Pontinha,8.39,0.99,3.38
Lisbon,Mirandela,349.75,19.84,0.58
Lisbon,Vizela,305.0,38.55,1.29
Almeirim,Lisbon,71.09,8.08,4.1
Caniço,Lisbon,969.7,52.19,3.3
Lisbon,São Mamede de Infesta,279.05,34.37,1.04
Fânzeres,Lisbon,277.32,32.54,1.61
Lisbon,Oliveira do Bairro,207.61,22.48,3.88
Lagoa,Lisbon,1442.25,155.26,2.55
Lisbon,Vale de Cambra,245.55,13.48,1.75
Lisbon,Vagos,208.29,21.81,1.91
Arcos de Valdevez,Lisbon,353.72,35.62,3.46
Arouca,Lisbon,257.65,26.05,1.75
Lisbon,Lordelo do Ouro,274.16,21.35,0.79
Lisbon,Salvaterra de Magos,45.63,4.1,4.82
Lisbon,Meixedo,402.4,34.57,2.78
Lisbon,Póvoa de Lanhoso,325.45,47.14,0.52
Lisbon,Machico,959.56,129.5,4.08
Azambuja,Lisbon,45.68,6.81,4.71
Lisbon,Seia,226.0,22.2,1.83
Lisbon,São João da Madeira,248.9,27.9,1.4
Bougado,Lisbon,295.16,23.78,0.42
Cacém,Lisbon,16.46,1.75,2.48
Lisbon,Vialonga,18.49,1.1,4.77
Lisbon,Rio Maior,71.11,5.57,4.43
Belas,Lisbon,13.18,1.4,3.88
Lisbon,Praia da Vitória,1556.99,160.27,1.84
Laranjeira,Lisbon,6.31,0.6,0.75
Lisbon,Oliveira do Hospital,213.56,24.83,1.81
Lisbon,Ul,240.18,14.35,2.98
Lisbon,Oliveira de Azemeis,242.87,22.75,4.63
Elvas,Lisbon,172.25,14.51,4.5
Baião,Lisbon,288.3,17.4,4.96
Costas de Cão,Lisbon,7.85,0.58,4.32
Caparica,Lisbon,6.89,0.93,2.17
Lisbon,Mealhada,194.04,16.08,4.25
Cinfães,Lisbon,276.43,25.11,4.9
Entroncamento,Lisbon,101.73,15.25,1.46
Celorico de Basto,Lisbon,312.29,42.8,1.27
Alfena,Lisbon,285.24,30.74,1.48
Coruche,Lisbon,59.25,4.58,3.04
Lisbon,Piedade,5.15,0.68,3.45
Lisbon,Soure,156.8,18.19,0.12
Lisbon,Monção,377.33,26.5,4.54
Lisbon,Vila Real de Santo António,225.71,19.44,0.96
Amares,Lisbon,331.15,40.45,1.91
Camarate,Lisbon,10.45,1.42,2.58
Lisbon,Sacavém,9.46,0.92,4.68
Lisbon,Mangualde,240.8,13.77,3.36
Lisbon,Santa Iria da Azóia,15.42,1.25,1.35
Lisbon,São Tiago de Custoias,280.08,26.36,4.75
Lisbon,Parede,19.5,1.71,2.06
Lisbon,Lousã,173.22,25.51,1.24
Alcochete,Lisbon,15.8,2.3,2.57
Lisbon,Montemor-o-Novo,80.12,4.89,0.25
Lisbon,Peso da Régua,295.42,16.75,0.75
Condeixa-a-Nova,Lisbon,165.21,19.2,3.61
Lisbon,São Pedro do Sul,244.05,23.27,2.1
Lisbon,Sobrado de Paiva,269.13,32.81,3.94
Lisbon,Ponte de Sôr,114.13,10.88,4.44
Cabeceiras de Basto,Lisbon,326.05,20.09,4.75
Lisbon,Quarteira,203.73,12.88,4.57
Lisbon,Sertã,150.22,22.08,0.27
Batalha,Lisbon,108.6,13.58,0.95
Lisbon,Macedo de Cavaleiros,364.36,43.08,4.03
Lisbon,Ramada,11.3,0.97,0.29
Lisbon,Serpa,160.82,23.53,3.45
Castro Daire,Lisbon,263.77,35.38,3.75
Lisbon,Penacova,188.02,26.97,1.37
Lisbon,Moura,160.15,13.37,4.15
Lisbon,Sobreda,8.48,1.04,2.58
Lisbon,Nazaré,98.73,14.03,1.18
Grândola,Lisbon,77.24,4.83,0.13
Anta,Lisbon,258.52,19.02,2.02
Falagueira,Lisbon,9.54,0.67,0.34
Cadaval,Lisbon,59.78,8.39,0.05
Lisbon,Valbom,273.16,13.82,1.62
Horta,Lisbon,1694.99,118.77,2.48
Estremoz,Lisbon,135.11,16.46,1.61
Lisbon,Sines,87.33,5.44,0.72
Lisbon,São Martinho do Bispo,175.57,13.77,1.82
Lisbon,Valença,370.65,54.86,0.25
Gouveia,Lisbon,238.23,13.05,4.46
Lisbon,Nelas,228.68,23.01,4.3
Gafanha da Nazaré,Lisbon,216.28,17.19,0.42
Alcanena,Lisbon,92.15,5.15,0.83
Arruda dos Vinhos,Lisbon,30.66,2.98,1.3
Lisbon,Ribeira Brava,981.22,125.38,3.75
Aldeia de Paio Pires,Lisbon,10.7,0.99,2.41
Fátima,Lisbon,109.18,11.97,0.34
Bombarral,Lisbon,61.65,5.26,2.06
Lisbon,Vila Pouca de Aguiar,333.23,32.24,1.45
Lisbon,Miranda do Corvo,168.81,20.83,0.41
Lamaçães,Lisbon,320.73,16.45,2.33
Alcácer do Sal,Lisbon,65.96,7.21,2.0
Lisbon,Vieira do Minho,335.36,29.33,1.2
Lisbon,Moreira,284.65,29.72,1.61
Aldoar,Lisbon,275.74,36.49,3.01
Lisbon,São Félix da Marinha,261.46,13.17,0.31
Lisbon,Sabugal,253.05,37.82,2.18
Lisbon,Mira,193.59,13.35,0.45
Lisbon,Sátão,255.18,20.27,2.48
Arcozelo,Lisbon,263.6,17.06,2.88
Lisbon,Sever do Vouga,232.08,30.02,0.24
Arganil,Lisbon,191.29,11.33,2.14
Lisbon,Tábua,206.63,28.94,2.57
Lisbon,Ponte da Barca,349.06,22.59,0.28
Eiras,Lisbon,180.51,24.32,1.82
Alijó,Lisbon,318.01,26.02,2.88
Lisbon,Vendas Novas,59.15,8.68,1.38
Lisbon,Portela,8.09,1.16,0.43
Costa de Caparica,Lisbon,11.6,0.82,2.11
Lisbon,Óbidos,72.17,6.19,4.08
Ansião,Lisbon,146.74,8.49,4.93
Lisbon,Santa Comba Dão,206.1,15.32,3.04
Calheta,Lisbon,983.25,135.6,3.27
Esmoriz,Lisbon,253.5,28.41,2.85
Lisbon,São João das Lampas,30.48,3.24,3.53
Lisbon,Resende,283.79,21.59,2.76
Lisbon,Vila Frescainha,316.64,16.36,2.32
Feira,Lisbon,250.89,23.59,0.45
Avintes,Lisbon,270.48,19.65,0.94
Lisbon,Reguengos de Monsaraz,143.31,13.1,0.41
Lisbon,Oliveirinha,215.55,25.64,1.56
Lisbon,Valadares,267.79,20.92,4.17
Lisbon,São Brás de Alportel,205.31,20.28,2.48
Lisbon,Santo André,77.93,10.56,1.51
Lisbon,Murtosa,228.78,17.59,1.38
Lisbon,São João de Ver,253.82,34.39,4.62
Grijó,Lisbon,261.72,23.91,4.44
Lisbon,Vouzela,239.84,17.17,2.01
Lisbon,Montalegre,363.93,42.49,2.84
Cunha Alta,Lisbon,243.49,12.85,1.88
Lisbon,Melres,269.09,18.47,0.46
Lisbon,Vila Franca do Campo,1429.8,124.41,3.78
Estreito de Câmara de Lobos,Lisbon,976.35,65.49,4.24
Lisbon,Oliveira de Frades,238.74,16.62,1.68
Ericeira,Lisbon,37.02,5.19,1.54
Lisbon,Moimenta da Beira,283.52,28.57,3.77
Lisbon,Sobral de Monte Agraço,33.83,2.15,3.56
Lisbon,Setúbal,29.62,4.39,4.43
Lisbon,Praia do Carvoeiro,188.32,26.49,1.67
Lisbon,Santa Clara,174.74,10.31,0.88
Lisbon,Maceira,110.39,13.66,4.66
Lisbon,Trancoso,276.13,31.13,2.2
Carregal do Sal,Lisbon,214.49,31.68,0.12
Idanha-a-Nova,Lisbon,211.52,26.03,2.58
Guifões,Lisbon,279.24,39.51,1.4
Lisbon,Pinhel,290.28,39.08,3.61
Lisbon,Mortágua,202.22,26.05,2.54
Lisbon,Tavarede,163.36,20.22,1.25
Aljustrel,Lisbon,125.56,13.25,3.48
Lisbon,Melgaço,385.14,33.68,3.0
Lisbon,Paredes de Coura,358.54,51.05,3.95
Gondizalves,Lisbon,319.56,19.05,3.14
Lisbon,Rebordosa,284.75,20.72,0.86
Lisbon,Vinhais,389.56,55.43,3.1
Carregado,Lisbon,36.79,3.91,3.5
Caxias,Lisbon,13.06,1.46,4.38
Almargem,Lisbon,19.19,2.78,1.62
Aver-o-Mar,Lisbon,300.49,25.15,2.79
Lisbon,Vila Nova de Cerveira,359.94,18.23,3.02
Lisbon,Ponta do Sol,983.18,64.5,3.83
Lisbon,Rabo de Peixe,1441.38,138.27,0.63
Lisbon,Lourosa,257.07,36.56,4.63
Ferreira do Zêzere,Lisbon,132.0,11.06,4.57
Lisbon,Torre de Moncorvo,324.83,46.18,3.28
Chamusca,Lisbon,91.44,5.76,4.15
Aves,Sintra,297.66,17.8,3.13
Aves,Vila Nova de Gaia,31.51,1.61,3.26
Aves,Porto,29.74,4.46,3.67
Aves,Cascais,309.11,21.12,0.21
Aves,Loures,289.28,25.01,0.1
Aves,Seixal,308.62,37.36,1.34
Aves,Braga,20.01,2.75,3.41
Almada,Aves,305.43,38.12,4.11
Aves,Matosinhos,30.72,2.31,0.33
Aves,Oeiras,306.43,36.94,2.39
Amadora,Aves,299.3,30.27,2.05
Aves,Gondomar,26.56,3.69,2.55
Aves,Guimarães,12.97,1.39,1.12
Aves,Odivelas,292.91,15.23,1.68
Aves,Coimbra,128.74,12.82,3.94
Aves,Vila Franca de Xira,273.14,28.24,3.11
Aves,Maia,23.04,1.97,0.44
Aves,Famalicão,10.58,0.57,3.58
Aves,Leiria,183.79,20.26,0.82
Aves,Barcelos,25.01,1.83,2.43
Aves,Funchal,1227.34,101.99,3.56
Aves,Viseu,89.49,11.9,3.62
Aves,Valongo,22.09,1.67,1.21
Aves,Viana do Castelo,50.87,5.27,0.42
Aves,Paredes,19.98,2.63,3.05
Aves,Vila do Conde,28.53,3.38,0.23
Aves,Torres Vedras,264.2,35.48,0.61
Aveiro,Aves,83.8,10.43,0.3
Aves,Barreiro,305.86,15.42,4.89
Aves,Queluz,299.02,36.47,3.68
Aves,Mafra,281.79,37.61,3.03
Aves,Penafiel,21.69,2.22,2.7
Aves,Santo Tirso,6.43,0.56,2.98
Aves,Loulé,470.39,34.45,4.65
Aves,Ponta Delgada,1534.25,100.85,0.1
Aves,Moita,305.99,28.93,2.43
Aves,Faro,485.14,35.21,4.05
Aves,Póvoa de Varzim,29.54,3.54,1.34
Aves,Palmela,314.0,15.86,1.43
Aves,Santarém,238.43,16.51,1.52
Aves,Figueira da Foz,140.69,12.55,2.81
Aves,Portimão,470.51,49.2,2.21
Aves,Felgueiras,17.58,0.92,3.78
Aves,Paços de Ferreira,9.92,0.67,1.72
Amarante,Aves,29.49,2.63,2.93
Aves,Castelo Branco,188.56,27.21,5.0
Aves,Ovar,59.52,8.31,1.41
Aves,Pombal,162.53,22.09,1.51
Alcobaça,Aves,207.54,15.91,0.38
Aves,Évora,314.33,32.38,2.78
Aves,Marco de Canavezes,30.1,3.96,4.95
Aves,Vila Real,56.2,6.2,0.59
Aves,Covilhã,143.05,16.21,2.32
Aves,Caldas da Rainha,226.57,30.88,0.68
Aves,Montijo,299.86,42.77,1.44
Aves,Rio Tinto,24.57,2.21,2.65
Aves,Fafe,22.19,1.24,2.43
Aves,Sesimbra,330.25,29.7,0.94
Amora,Aves,310.61,31.83,0.22
Aves,Vila Verde,30.97,1.79,1.62
Aves,Águeda,88.43,9.95,1.95
Aves,Vale de Cavalos,308.58,42.45,2.92
Aves,Lousada,14.35,2.13,1.43
Aves,Rio de Mouro,299.37,17.2,0.49
Aves,Corroios,312.43,19.33,2.9
Aves,Ourém,191.59,13.0,4.27
Aves,Olhão,484.62,41.03,2.85
Albufeira,Aves,475.52,46.87,0.16
Aves,Ponte de Lima,46.34,4.19,0.96
Alenquer,Aves,262.3,34.78,3.56
Aves,Santa Cruz,1220.41,155.28,1.85
Aves,Guarda,133.48,13.52,4.17
Aves,Chaves,88.47,7.17,4.7
Aves,Tomar,196.58,21.9,4.77
Abrantes,Aves,212.13,30.38,1.18
Aves,Marinha Grande,185.52,27.07,3.1
Aves,Trofa,13.03,1.33,2.13
Aves,Mafamude,32.65,2.02,2.6
Aves,Ermezinde,20.88,1.85,2.42
Aves,Silves,464.85,68.81,0.95
Aves,Torres Novas,209.8,12.7,1.14
Aves,Cantanhede,114.76,9.24,1.16
Aves,Beja,375.47,28.77,1.97
Agualva,Aves,298.51,29.21,2.49
Aves,Câmara de Lobos,1230.07,62.1,1.0
Angra do Heroísmo,Aves,1630.18,214.8,2.24
Aves,Bragança,146.42,20.2,4.4
Aves,Esposende,36.06,5.24,0.14
Aves,Ribeira Grande,1518.62,137.32,3.56
Aves,Ílhavo,88.23,10.63,2.09
Aves,Lagos,474.61,32.29,3.99
Aves,Espinho,44.42,4.83,4.16
Aves,Charneca,312.79,32.01,2.93
Aves,Santiago do Cacém,373.17,46.45,0.73
Aves,Perafita,29.15,2.49,3.4
Aves,Póvoa de Santa Iria,284.74,26.14,2.42
Aves,Fundão,157.4,19.65,4.74
Aves,Benavente,267.3,38.28,4.82
Aves,Senhora da Hora,28.77,2.31,2.1
Aves,Tondela,98.8,7.66,3.74
Arrentela,Aves,310.33,25.08,0.24
Aves,Massamá,299.42,34.63,2.61
Anadia,Aves,104.07,5.91,2.55
Aves,Águas Santas,23.09,1.4,0.03
Aves,Estarreja,70.13,10.4,0.03
Aves,Lamego,58.73,3.56,2.92
Aves,Peniche,237.57,25.82,4.5
Aves,Estoril,307.63,44.4,3.48
Aves,Montemor-o-Velho,135.02,17.59,3.56
Aves,Tavira,475.2,61.66,0.82
Aves,Odemira,420.89,36.29,1.26
Aves,Lourinhã,248.4,31.08,4.53
Albergaria-a-Velha,Aves,75.38,5.83,2.47
Aves,Pinhal Novo,307.32,34.15,3.8
Aves,Portalegre,243.15,33.27,4.55
Aves,Cartaxo,247.3,16.73,3.61
Aves,Porto de Mós,199.58,26.27,3.4
Aves,Pontinha,296.71,19.67,2.4
Aves,Mirandela,103.31,12.9,1.25
Aves,Vizela,9.32,0.71,1.65
Almeirim,Aves,240.63,22.5,1.82
Aves,Caniço,1224.53,155.69,2.82
Aves,São Mamede de Infesta,26.05,3.84,3.75
Aves,Fânzeres,24.86,2.43,0.15
Aves,Oliveira do Bairro,95.1,13.46,4.51
Aves,Lagoa,1526.71,79.32,4.89
Aves,Vale de Cambra,57.79,6.37,3.75
Aves,Vagos,93.35,11.4,0.13
Arcos de Valdevez,Aves,53.28,3.69,2.22
Arouca,Aves,50.97,3.19,3.32
Aves,Lordelo do Ouro,31.44,2.13,4.43
Aves,Salvaterra de Magos,262.42,38.33,1.28
Aves,Meixedo,146.76,9.04,0.41
Aves,Póvoa de Lanhoso,24.89,2.07,2.56
Aves,Machico,1214.67,175.88,2.59
Aves,Azambuja,258.72,37.52,4.99
Aves,Seia,121.15,15.11,3.02
Aves,São João da Madeira,52.77,7.05,2.24
Aves,Bougado,11.51,1.01,2.89
Aves,Cacém,298.67,30.49,3.43
Aves,Vialonga,283.06,22.68,1.09
Aves,Rio Maior,230.52,22.91,4.28
Aves,Belas,296.93,40.92,0.35
Aves,Praia da Vitória,1615.34,115.31,4.59
Aves,Laranjeira,307.85,40.74,1.44
Aves,Oliveira do Hospital,120.5,16.83,4.74
Aves,Ul,61.66,8.18,0.23
Aves,Oliveira de Azemeis,59.16,7.4,1.37
Aves,Elvas,296.24,19.41,4.44
Aves,Baião,38.83,4.8,3.23
Aves,Costas de Cão,307.96,45.24,1.85
Aves,Caparica,307.31,44.3,0.77
Aves,Mealhada,110.24,8.17,0.08
Aves,Cinfães,43.45,4.85,0.88
Aves,Entroncamento,211.44,13.45,2.22
Aves,Celorico de Basto,34.17,4.26,3.18
Alfena,Aves,17.57,2.48,1.08
Aves,Coruche,268.03,16.62,1.59
Aves,Piedade,306.54,22.49,1.84
Aves,Soure,145.69,14.48,3.98
Aves,Monção,78.3,8.11,2.41
Aves,Vila Real de Santo António,470.85,27.41,2.06
Amares,Aves,29.64,3.33,0.72
Aves,Camarate,291.45,24.87,0.28
Aves,Sacavém,292.1,20.4,0.55
Aves,Mangualde,100.74,14.25,1.37
Aves,Santa Iria da Azóia,286.14,18.26,0.08
Aves,São Tiago de Custoias,26.98,2.34,0.53
Aves,Parede,308.03,18.02,4.53
Aves,Lousã,140.36,8.43,4.25
Alcochete,Aves,294.13,22.96,4.27
Aves,Montemor-o-Novo,302.5,45.34,0.74
Aves,Peso da Régua,56.9,7.86,3.65
Aves,Condeixa-a-Nova,139.42,12.37,0.67
Aves,São Pedro do Sul,74.69,4.5,3.14
Aves,Sobrado de Paiva,37.88,5.35,4.68
Aves,Ponte de Sôr,238.13,31.68,3.44
Aves,Cabeceiras de Basto,37.93,5.34,2.6
Aves,Quarteira,478.22,40.35,4.54
Aves,Sertã,176.25,11.82,1.18
Aves,Batalha,193.11,10.21,3.83
Aves,Macedo de Cavaleiros,123.34,6.83,3.99
Aves,Ramada,292.67,37.22,2.54
Aves,Serpa,388.14,28.64,4.83
Aves,Castro Daire,65.81,5.89,4.72
Aves,Penacova,123.15,14.68,2.5
Aves,Moura,367.99,25.59,4.13
Aves,Sobreda,309.34,33.79,2.62
Aves,Nazaré,204.31,18.51,1.88
Aves,Grândola,354.84,39.63,2.47
Anta,Aves,44.16,6.51,4.64
Aves,Falagueira,298.19,17.63,4.05
Aves,Cadaval,242.63,16.68,1.04
Aves,Valbom,29.41,3.98,4.16
Aves,Horta,1752.42,176.59,3.75
Aves,Estremoz,289.32,15.56,3.54
Aves,Sines,381.22,51.04,4.55
Aves,São Martinho do Bispo,129.06,13.24,4.05
Aves,Valença,75.41,5.8,2.12
Aves,Gouveia,118.3,16.46,4.1
Aves,Nelas,105.88,12.69,4.62
Aves,Gafanha da Nazaré,85.82,9.99,3.13
Alcanena,Aves,213.38,22.29,1.13
Arruda dos Vinhos,Aves,270.88,13.89,2.6
Aves,Ribeira Brava,1233.42,99.81,4.54
Aldeia de Paio Pires,Aves,309.84,22.52,0.92
Aves,Fátima,194.95,20.69,3.83
Aves,Bombarral,242.03,32.92,1.54
Aves,Vila Pouca de Aguiar,66.13,5.08,1.2
Aves,Miranda do Corvo,141.21,11.27,0.61
Aves,Lamaçães,19.38,1.1,4.02
Alcácer do Sal,Aves,332.97,39.26,2.2
Aves,Vieira do Minho,37.25,4.61,4.81
Aves,Moreira,24.19,2.11,3.32
Aldoar,Aves,31.0,2.9,2.73
Aves,São Félix da Marinha,41.42,4.96,1.97
Aves,Sabugal,158.71,13.83,4.86
Aves,Mira,108.14,5.41,3.6
Aves,Sátão,91.66,10.01,4.54
Arcozelo,Aves,39.9,2.1,1.92
Aves,Sever do Vouga,72.68,5.99,3.98
Arganil,Aves,131.41,18.02,4.42
Aves,Tábua,115.89,9.83,2.83
Aves,Ponte da Barca,48.6,2.57,1.6
Aves,Eiras,125.29,11.91,4.51
Alijó,Aves,78.99,8.72,0.71
Aves,Vendas Novas,298.96,34.42,2.18
Aves,Portela,293.46,42.97,0.27
Aves,Costa de Caparica,310.74,29.34,0.08
Aves,Óbidos,231.85,33.16,2.44
Ansião,Aves,161.43,11.62,4.63
Aves,Santa Comba Dão,110.51,6.24,0.18
Aves,Calheta,1233.66,66.43,1.66
Aves,Esmoriz,48.94,4.36,3.54
Aves,São João das Lampas,290.69,38.34,3.34
Aves,Resende,48.88,4.99,0.45
Aves,Vila Frescainha,26.78,3.7,1.2
Aves,Feira,50.65,3.08,2.08
Aves,Avintes,31.59,3.0,1.97
Aves,Reguengos de Monsaraz,336.4,40.47,0.46
Aves,Oliveirinha,86.04,11.07,3.04
Aves,Valadares,36.23,1.84,0.73
Aves,São Brás de Alportel,470.74,25.94,3.11
Aves,Santo André,368.19,38.16,0.06
Aves,Murtosa,72.92,8.97,2.99
Aves,São João de Ver,47.76,5.7,4.31
Aves,Grijó,40.37,5.16,0.8
Aves,Vouzela,76.11,7.45,0.13
Aves,Montalegre,72.19,4.99,0.3
Aves,Cunha Alta,104.5,11.98,4.17
Aves,Melres,33.52,3.98,2.44
Aves,Vila Franca do Campo,1515.65,106.45,1.11
Aves,Estreito de Câmara de Lobos,1229.48,127.61,0.29
Aves,Oliveira de Frades,73.62,8.22,3.18
Aves,Ericeira,280.7,37.36,4.62
Aves,Moimenta da Beira,79.39,9.41,2.88
Aves,Sobral de Monte Agraço,268.82,35.05,2.43
Aves,Setúbal,318.68,20.77,1.4
Aves,Praia do Carvoeiro,474.11,70.26,1.12
Aves,Santa Clara,131.0,13.44,3.89
Aves,Maceira,191.18,16.59,1.83
Aves,Trancoso,110.39,10.47,0.91
Aves,Carregal do Sal,109.64,7.07,2.72
Aves,Idanha-a-Nova,189.2,23.68,1.75
Aves,Guifões,28.44,1.72,1.26
Aves,Pinhel,130.36,15.26,4.06
Aves,Mortágua,109.37,13.36,0.28
Aves,Tavarede,138.63,15.62,2.92
Aljustrel,Aves,388.37,27.35,0.46
Aves,Melgaço,83.76,10.97,1.68
Aves,Paredes de Coura,61.34,9.16,4.75
Aves,Gondizalves,19.51,1.27,3.35
Aves,Rebordosa,17.07,1.36,1.89
Aves,Vinhais,127.59,16.74,0.11
Aves,Carregado,265.6,27.42,0.77
Aves,Caxias,305.72,28.84,1.71
Almargem,Aves,289.58,41.97,1.37
Aver-o-Mar,Aves,30.25,2.82,3.89
Aves,Vila Nova de Cerveira,69.13,8.14,2.03
Aves,Ponta do Sol,1234.85,183.49,4.0
Aves,Rabo de Peixe,1524.57,125.1,1.07
Aves,Lourosa,44.55,5.7,1.68
Aves,Ferreira do Zêzere,185.79,27.43,2.62
Aves,Torre de Moncorvo,108.62,14.03,3.35
Aves,Chamusca,223.37,28.14,3.74
Sintra,Vila Nova de Gaia,267.65,18.86,1.8
Porto,Sintra,269.52,33.41,3.49
Cascais,Sintra,11.45,0.76,1.02
Loures,Sintra,19.64,1.08,3.56
Seixal,Sintra,30.1,1.88,1.54
Braga,Sintra,316.65,18.06,0.95
Almada,Sintra,24.0,3.27,1.64
Matosinhos,Sintra,272.06,25.59,3.5
Oeiras,Sintra,13.55,1.72,1.09
Amadora,Sintra,14.63,2.14,1.15
Gondomar,Sintra,271.28,21.86,4.83
Guimarães,Sintra,308.55,43.16,2.77
Odivelas,Sintra,17.99,1.62,1.66
